TotalBill,tip,sex,smoker,day,time,size,TipPercent
12.54,2.5,Male,No,Sun,Dinner,2,19.94
10.29,2.6,Female,No,Sun,Dinner,2,25.27
34.81,5.2,Female,No,Sun,Dinner,4,14.94
9.94,1.56,Male,No,Sun,Dinner,2,15.69
25.56,4.34,Male,No,Sun,Dinner,4,16.98
19.49,3.51,Male,No,Sun,Dinner,2,18.01
38.01,3.0,Male,Yes,Sat,Dinner,4,7.89
26.41,1.5,Female,No,Sat,Dinner,2,5.68
11.24,1.76,Male,Yes,Sat,Dinner,2,15.66
48.27,6.73,Male,No,Sat,Dinner,4,13.94
20.29,3.21,Male,Yes,Sat,Dinner,2,15.82
13.81,2.0,Male,Yes,Sat,Dinner,2,14.48
11.02,1.98,Male,Yes,Sat,Dinner,2,17.97
18.29,3.76,Male,Yes,Sat,Dinner,4,20.56
17.59,2.64,Male,No,Sat,Dinner,3,15.01
20.08,3.15,Male,No,Sat,Dinner,3,15.69
16.45,2.47,Female,No,Sat,Dinner,2,15.02
3.07,1.0,Female,Yes,Sat,Dinner,1,32.57
20.23,2.01,Male,No,Sat,Dinner,2,9.94
15.01,2.09,Male,Yes,Sat,Dinner,2,13.92
12.02,1.97,Male,No,Sat,Dinner,2,16.39
17.07,3.0,Female,No,Sat,Dinner,3,17.57
26.86,3.14,Female,Yes,Sat,Dinner,2,11.69
25.28,5.0,Female,Yes,Sat,Dinner,2,19.78
14.73,2.2,Female,No,Sat,Dinner,2,14.94
10.51,1.25,Male,No,Sat,Dinner,2,11.89
17.92,3.08,Male,Yes,Sat,Dinner,2,17.19
27.2,4.0,Male,No,Thur,Lunch,4,14.71
22.76,3.0,Male,No,Thur,Lunch,2,13.18
17.29,2.71,Male,No,Thur,Lunch,2,15.67
19.44,3.0,Male,Yes,Thur,Lunch,2,15.43
16.66,3.4,Male,No,Thur,Lunch,2,20.41
10.07,1.83,Female,No,Thur,Lunch,1,18.17
32.68,5.0,Male,Yes,Thur,Lunch,2,15.3
15.98,2.03,Male,No,Thur,Lunch,2,12.7
34.83,5.17,Female,No,Thur,Lunch,4,14.84
13.03,2.0,Male,No,Thur,Lunch,2,15.35
18.28,4.0,Male,No,Thur,Lunch,2,21.88
24.71,5.85,Male,No,Thur,Lunch,2,23.67
21.16,3.0,Male,No,Thur,Lunch,2,14.18
28.97,3.0,Male,Yes,Fri,Dinner,2,10.36
22.49,3.5,Male,No,Fri,Dinner,2,15.56
5.75,1.0,Female,Yes,Fri,Dinner,2,17.39
16.32,4.3,Female,Yes,Fri,Dinner,2,26.35
22.75,3.25,Female,No,Fri,Dinner,2,14.29
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77
27.28,4.0,Male,Yes,Fri,Dinner,2,14.66
12.03,1.5,Male,Yes,Fri,Dinner,2,12.47
21.01,3.0,Male,Yes,Fri,Dinner,2,14.28
12.46,1.5,Male,No,Fri,Dinner,2,12.04
11.35,2.5,Female,Yes,Fri,Dinner,2,22.03
15.38,3.0,Female,Yes,Fri,Dinner,2,19.51
44.3,2.5,Female,Yes,Sat,Dinner,3,5.64
22.42,3.48,Female,Yes,Sat,Dinner,2,15.52
20.92,4.08,Female,No,Sat,Dinner,2,19.5
15.36,1.64,Male,Yes,Sat,Dinner,2,10.68
20.49,4.06,Male,Yes,Sat,Dinner,2,19.81
25.21,4.29,Male,Yes,Sat,Dinner,2,17.02
18.24,3.76,Male,No,Sat,Dinner,2,20.61
14.31,4.0,Female,Yes,Sat,Dinner,2,27.95
14.0,3.0,Male,No,Sat,Dinner,2,21.43
7.25,1.0,Female,No,Sat,Dinner,1,13.79
38.07,4.0,Male,No,Sun,Dinner,3,10.51
23.95,,Male,No,Sun,Dinner,2,
25.71,4.0,Female,No,Sun,Dinner,3,15.56
17.31,3.5,Female,No,Sun,Dinner,2,20.22
29.93,5.07,Male,No,Sun,Dinner,4,16.94
10.65,1.5,Female,No,Thur,Lunch,2,14.08
12.43,1.8,Female,No,Thur,Lunch,2,14.48
24.08,2.92,Female,No,Thur,Lunch,4,12.13
11.69,2.31,Male,No,Thur,Lunch,2,19.76
13.42,1.68,Female,No,Thur,Lunch,2,12.52
14.26,2.5,Male,No,Thur,Lunch,2,17.53
15.95,2.0,Male,No,Thur,Lunch,2,12.54
12.48,2.52,Female,No,Thur,Lunch,2,20.19
29.8,4.2,Female,No,Thur,Lunch,6,14.09
8.52,1.48,Male,No,Thur,Lunch,2,17.37
14.52,2.0,Female,No,Thur,Lunch,2,13.77
11.38,2.0,Female,No,Thur,Lunch,2,17.57
22.82,2.18,Male,No,Thur,Lunch,3,9.55
19.08,1.5,Male,No,Thur,Lunch,2,7.86
20.27,2.83,Female,No,Thur,Lunch,2,13.96
11.17,1.5,Female,No,Thur,Lunch,2,13.43
12.26,2.0,Female,No,Thur,Lunch,2,16.31
18.26,3.25,Female,No,Thur,Lunch,2,17.8
8.51,1.25,Female,No,Thur,Lunch,2,14.69
10.33,2.0,Female,No,Thur,Lunch,2,19.36
14.15,2.0,Female,No,Thur,Lunch,2,14.13
16.0,2.0,Male,Yes,Thur,Lunch,2,12.5
13.16,2.75,Female,No,Thur,Lunch,2,20.9
17.47,3.5,Female,No,Thur,Lunch,2,20.03
34.3,6.7,Male,No,Thur,Lunch,6,19.53
41.19,5.0,Male,No,Thur,Lunch,5,12.14
27.05,5.0,Female,No,Thur,Lunch,6,18.48
16.43,2.3,Female,No,Thur,Lunch,2,14.0
8.35,1.5,Female,No,Thur,Lunch,2,17.96
18.64,1.36,Female,No,Thur,Lunch,3,7.3
11.87,1.63,Female,No,Thur,Lunch,2,13.73
9.78,1.73,Male,No,Thur,Lunch,2,17.69
7.51,2.0,Male,No,Thur,Lunch,2,26.63
14.07,,Male,No,Sun,Dinner,2,
13.13,2.0,Male,No,Sun,Dinner,2,15.23
17.26,,Male,No,Sun,Dinner,3,
24.55,2.0,Male,No,Sun,Dinner,4,8.15
19.77,2.0,Male,No,Sun,Dinner,4,10.12
29.85,5.14,Female,No,Sun,Dinner,5,17.22
48.17,5.0,Male,No,Sun,Dinner,6,10.38
25.0,3.75,Female,No,Sun,Dinner,4,15.0
13.39,2.61,Female,No,Sun,Dinner,2,19.49
16.49,2.0,Male,No,Sun,Dinner,4,12.13
21.5,3.5,Male,No,Sun,Dinner,4,16.28
12.66,2.5,Male,No,Sun,Dinner,2,19.75
16.21,2.0,Female,No,Sun,Dinner,3,12.34
13.81,2.0,Male,No,Sun,Dinner,2,14.48
17.51,3.0,Female,Yes,Sun,Dinner,2,17.13
24.52,3.48,Male,No,Sun,Dinner,3,14.19
20.76,2.24,Male,No,Sun,Dinner,2,10.79
31.71,4.5,Male,No,Sun,Dinner,4,14.19
10.59,1.61,Female,Yes,Sat,Dinner,2,15.2
10.63,2.0,Female,Yes,Sat,Dinner,2,18.81
50.81,10.0,Male,Yes,Sat,Dinner,3,19.68
15.81,3.16,Male,Yes,Sat,Dinner,2,19.99
7.25,5.15,Male,Yes,Sun,Dinner,2,71.03
31.85,3.18,Male,Yes,Sun,Dinner,2,9.98
16.82,4.0,Male,Yes,Sun,Dinner,2,23.78
32.9,,Male,Yes,Sun,Dinner,2,
17.89,2.0,Male,Yes,Sun,Dinner,2,11.18
14.48,2.0,Male,Yes,Sun,Dinner,2,13.81
9.6,4.0,Female,Yes,Sun,Dinner,2,41.67
34.63,3.55,Male,Yes,Sun,Dinner,2,10.25
34.65,3.68,Male,Yes,Sun,Dinner,4,10.62
23.33,5.65,Male,Yes,Sun,Dinner,2,24.22
45.35,3.5,Male,Yes,Sun,Dinner,3,7.72
23.17,6.5,Male,Yes,Sun,Dinner,4,28.05
40.55,3.0,Male,Yes,Sun,Dinner,2,7.4
20.69,5.0,Male,No,Sun,Dinner,5,24.17
20.9,3.5,Female,Yes,Sun,Dinner,3,16.75
30.46,2.0,Male,Yes,Sun,Dinner,5,6.57
18.15,3.5,Female,Yes,Sun,Dinner,3,19.28
23.1,4.0,Male,Yes,Sun,Dinner,3,17.32
15.69,1.5,Male,Yes,Sun,Dinner,2,9.56
19.81,4.19,Female,Yes,Thur,Lunch,2,21.15
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0
15.48,2.02,Male,Yes,Thur,Lunch,2,13.05
16.58,4.0,Male,Yes,Thur,Lunch,2,24.13
7.56,1.44,Male,No,Thur,Lunch,2,19.05
10.34,2.0,Male,Yes,Thur,Lunch,2,19.34
43.11,5.0,Female,Yes,Thur,Lunch,4,11.6
13.0,2.0,Female,Yes,Thur,Lunch,2,15.38
13.51,2.0,Male,Yes,Thur,Lunch,2,14.8
18.71,4.0,Male,Yes,Thur,Lunch,3,21.38
12.74,2.01,Female,Yes,Thur,Lunch,2,15.78
16.4,2.5,Female,Yes,Thur,Lunch,2,15.24
20.53,4.0,Male,Yes,Thur,Lunch,4,19.48
16.47,3.23,Female,Yes,Thur,Lunch,3,19.61
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82
38.73,3.0,Male,Yes,Sat,Dinner,4,7.75
24.27,2.03,Male,Yes,Sat,Dinner,2,8.36
12.76,2.23,Female,Yes,Sat,Dinner,2,17.48
30.06,2.0,Male,Yes,Sat,Dinner,3,6.65
25.89,5.16,Male,Yes,Sat,Dinner,4,19.93
48.33,9.0,Male,No,Sat,Dinner,4,18.62
13.27,2.5,Female,Yes,Sat,Dinner,2,18.84
28.17,6.5,Female,Yes,Sat,Dinner,3,23.07
12.9,1.1,Female,Yes,Sat,Dinner,2,8.53
28.15,,Male,Yes,Sat,Dinner,5,
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6
30.14,3.09,Female,Yes,Sat,Dinner,4,10.25
12.16,2.2,Male,Yes,Fri,Lunch,2,18.09
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93
8.58,1.92,Male,Yes,Fri,Lunch,1,22.38
15.98,3.0,Female,No,Fri,Lunch,3,18.77
13.42,1.58,Male,Yes,Fri,Lunch,2,11.77
16.27,2.5,Female,Yes,Fri,Lunch,2,15.37
10.09,2.0,Female,Yes,Fri,Lunch,2,19.82
20.45,3.0,Male,No,Sat,Dinner,4,14.67
13.28,2.72,Male,No,Sat,Dinner,2,20.48
22.12,2.88,Female,Yes,Sat,Dinner,2,13.02
24.01,2.0,Male,Yes,Sat,Dinner,4,8.33
15.69,3.0,Male,Yes,Sat,Dinner,3,19.12
11.61,3.39,Male,No,Sat,Dinner,2,29.2
10.77,,Male,No,Sat,Dinner,2,
15.53,3.0,Male,Yes,Sat,Dinner,2,19.32
10.07,1.25,Male,No,Sat,Dinner,2,12.41
12.6,1.0,Male,Yes,Sat,Dinner,2,7.94
32.83,1.17,Male,Yes,Sat,Dinner,2,3.56
35.83,4.67,Female,No,Sat,Dinner,3,13.03
29.03,,Male,No,Sat,Dinner,3,
27.18,2.0,Female,Yes,Sat,Dinner,2,7.36
22.67,2.0,Male,Yes,Sat,Dinner,2,8.82
17.82,1.75,Male,No,Sat,Dinner,2,9.82
18.78,3.0,Female,No,Thur,Dinner,2,15.97
